event_id,step_id,choice_order,choice_id,label,interaction_ids,next_step_id
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,2,choice_week_001_dark_room_a,"그래, 더 밝게 해줄게. 무서우면 언제든 말하렴.",stable_plus_1|affinity_plus_1,step_event_week_001_night_dark_room_outro
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,0,choice_week_001_dark_room_b,어둠은 무서운 게 아니야. 곧 익숙해진단다.,clever_plus_1|affinity_minus_1,step_event_week_001_night_dark_room_outro
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,1,choice_week_001_dark_room_c,"그럼 양 한 마리, 두 마리 같이 세어볼까?",innocent_plus_1,step_event_week_001_night_dark_room_outro
event_week_001_night_parents,step_event_week_001_night_parents_intro,2,choice_week_001_parents_a,아벨리아를 보고 있을 거야. 늘 보고 계실 거란다.,compliant_plus_1|affinity_plus_1,step_event_week_001_night_parents_outro
event_week_001_night_parents,step_event_week_001_night_parents_intro,1,choice_week_001_parents_b,그건 삼촌도 잘 모르겠다. 다음에 같이 생각해볼까?,cautious_plus_1,step_event_week_001_night_parents_outro
event_week_001_night_parents,step_event_week_001_night_parents_intro,0,choice_week_001_parents_c,그런 건 자기 전에 생각하지 않는 게 좋겠구나.,anxious_plus_1|affinity_minus_1,step_event_week_001_night_parents_outro
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,0,choice_week_002_mother_resemblance_a,그래. 정말 많이 닮았어. 특히 웃을 때.,stable_plus_1|affinity_plus_1,step_event_week_002_night_mother_resemblance_outro
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,2,choice_week_002_mother_resemblance_b,그런 말은 너무 신경 쓰지 마. 너는 너야.,clever_plus_1|affinity_minus_1,step_event_week_002_night_mother_resemblance_outro
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,1,choice_week_002_mother_resemblance_c,엄마는 너보다 코가 컸어. 너는 아빠 코야.,curious_plus_1,step_event_week_002_night_mother_resemblance_outro
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,1,choice_week_002_tea_party_a,정말 잘 했어. 삼촌이 다 보고 있었단다.,stable_plus_1|affinity_plus_1,step_event_week_002_night_tea_party_outro
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,0,choice_week_002_tea_party_b,삼촌은 네가 인사할 때 머리에 리본이 비뚤어진 게 더 신경 쓰였어.,curious_plus_1,step_event_week_002_night_tea_party_outro
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,2,choice_week_002_tea_party_c,다음엔 더 잘할 수 있을 거란다.,cautious_plus_1|affinity_minus_1,step_event_week_002_night_tea_party_outro
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,1,choice_week_003_father_book_a,맞아. 네 아빠가 좋아하던 책이란다. 너도 읽고 싶으면 읽어도 돼.,curious_plus_1|affinity_plus_1,step_event_week_003_night_father_book_outro
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,2,choice_week_003_father_book_b,그건 어른 책이야. 좀 더 크면 보자꾸나.,compliant_plus_1|affinity_minus_1,step_event_week_003_night_father_book_outro
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,0,choice_week_003_father_book_c,"그 책 표지에 침 자국이 있던데, 네 아빠가 책을 베고 잤었나보구나.",curious_plus_1,step_event_week_003_night_father_book_outro
